,texts
129,"['republic', 'korea', 'hopes', 'busan', 'global', 'partnership', 'effective', 'development', 'cooperation', 'launched', '2012', 'also', 'play', 'significant', 'role', 'setting', 'new', 'cooperative', 'mechanism', 'lead', 'implementation', 'post2015', 'development', 'agenda']"
130,"['development', 'goals', 'also', 'coincide', 'korea', '’', 'foreign', 'policy', 'objective', 'building', 'era', 'global', 'happiness']"
131,"['republic', 'korea', 'hopes', 'work', 'together', 'complete', 'unfinished', 'business', 'mdgs', 'pursuing', 'recipientoriented', 'development', 'cooperation', 'policy']"
132,"['specifically', 'continue', 'increase', 'official', 'development', 'assistance', 'share', 'successful', 'development', 'experiences', 'saemaul', 'undong', 'new', 'community', 'movement', 'developing', 'countries']"
133,"['addition', 'united', 'response', 'climate', 'change', 'critical', 'achieving', 'global', 'happiness']"
134,"['korea', 'actively', 'support', 'green', 'climate', 'fund', 'headquartered', 'korea', 'develops', 'significant', 'organization', 'supports', 'developing', 'countries', 'responding', 'climate', 'change', 'threats', 'brings']"
135,"['deepening', 'global', 'interdependence', 'led', 'rise', 'challenges', 'requiring', 'common', 'response']"
136,"['expectations', 'role', 'played', 'united', 'nations', 'higher', 'ever']"
137,"['indeed', 'united', 'nations', 'made', 'great', 'contributions', 'centre', 'global', 'cooperation', 'expected', 'continue', 'noble', 'endeavours']"
138,"['former', 'secretarygeneral', 'dag', 'hammarskjöld', 'said', '“', 'recognize', 'united', 'nations', '—', 'admittedly', 'imperfect', 'indispensable', 'instrument', 'nations', 'working', 'peaceful', 'evolution', 'towards', 'secure', 'world', 'order', '”']"
139,"['reminded', 'solemn', 'pledge', 'government', 'made', '22', 'years', 'ago', '—', 'republic', 'korea', 'actively', 'contribute', 'resolution', 'global', 'challenges', 'united', 'nations']"
140,"['today', 'stand', 'assembly', 'reaffirm', 'commitment', 'new', 'government', 'republic', 'korea', '—', 'korea', 'contribute', 'realizing', 'era', 'global', 'happiness', 'achieving', 'goals', 'set', 'united', 'nations']"
141,"['make', 'common', 'collective', 'efforts', 'toward', 'advancing', 'universal', 'values', 'peace', 'development', 'human', 'rights', 'united', 'nations', 'truly', 'become', 'parliament', 'humankind']"
142,"['would', 'like', 'begin', 'statement', 'congratulating', 'ambassador', 'john', 'william', 'ashe', 'election', 'president', 'general', 'assembly', 'sixtyeighth', 'session']"
143,"['would', 'also', 'like', 'extend', 'congratulations', 'country', 'antigua', 'barbuda', 'honoured', 'selection', 'one', 'sons', 'preside', 'year', 'representative', 'world', 'institution']"
144,"['president', 'carries', 'shoulders', 'responsibility', 'guiding', 'work', 'current', 'session', 'general', 'assembly', 'time', 'consider', 'politically', 'critical', 'international', 'community']"
145,"['indeed', 'reality', 'international', 'community', 'faces', 'today', 'world', 'troubled', 'dangerous', 'global', 'geopolitical', 'tensions', 'international', 'financial', 'economic', 'crisis', 'deeper', 'wider', 'seen', 'since', '1930s']"
146,"['intensity', 'crisis', 'thrown', 'millions', 'people', 'onto', 'unemployment', 'rolls', 'created', 'millions', 'new', 'poor', 'throughout', 'world']"
147,"['new', 'fears', 'new', 'dangers', 'new', 'threats', 'around', 'world', '—', 'transnational', 'terrorism', 'arms', 'drug', 'trafficking', 'well', 'frightening', 'interfaith', 'tensions', 'often', 'result', 'bloodshed']"
148,"['dangers', 'include', 'return', 'brutal', 'oldstyle', 'piracy', 'modern', 'age', 'coast', 'somalia', 'also', 'gulf', 'guinea', 'threatening', 'important', 'routes', 'oil', 'transported', 'fuel', 'world', 'economy', 'creating', 'insecurity', 'international', 'merchant', 'marine', 'facilitating', 'illicit', 'fishing', 'manner', 'illegal', 'maritime', 'trafficking', 'arms', 'human', 'beings', 'psychotropic', 'substances', 'persistent', 'outbreaks', 'ethnic', 'violence', 'cause', 'enormous', 'human', 'suffering', 'unimaginable', 'humanitarian', 'disasters', 'various', 'areas']"
149,"['come', 'small', 'country', 'westernmost', 'tip', 'african', 'coast']"
150,"['poor', 'country', 'lost', 'hope', 'achieving', 'peace', 'progress', 'entitled']"
151,"['two', 'days', 'ago', 'celebrated', 'fortieth', 'anniversary', 'national', 'independence', 'good', 'time', 'us', 'reaffirm', 'following', 'entire', 'period', 'armed', 'struggle', 'national', 'liberation', 'people', 'represent', 'believed', 'united', 'nations', 'international', 'law', 'country', 'today', 'reiterates', 'maintains', 'reinforces', 'belief']"
152,"['achieved', 'national', 'independence', '1973']"
153,"['given', 'us', 'anybody', 'became', 'possible', 'result', 'international', 'solidarity', 'ultimately', 'recognition']"
154,"['without', 'exception', 'wish', 'behalf', 'guinea', 'bissau', 'express', 'feeling', 'eternal', 'gratitude', 'declare', 'firm', 'desire', 'strengthen', 'longstanding', 'ties', 'friendship', 'affirm', 'willingness', 'despite', 'transpired', 'rebuild', 'foundations', 'solidarity', 'united', 'peoples', 'past']"
155,"['rostrum', 'ask', 'assembly', '’', 'patience', 'understanding', 'hope', 'solidarity']"
156,"['believe', 'expressions', 'generosity', 'way', 'inconsistent', 'cold', 'rationality', 'relations', 'among', 'sovereign', 'states']"
157,"['interim', 'president', 'republic', 'guineabissau', 'title', 'assembly', 'well', 'aware', 'indicates', 'something', 'particular', 'exceptional']"
158,"['indeed', 'political', 'military', 'events', '12', 'april', '2012', 'created', 'new', 'political', 'environment', 'country']"
159,"['military', 'coup', 'ousted', 'interim', 'president', 'republic', 'selfsuspended', 'prime', 'minister', 'launched', 'inconclusive', 'campaign', 'run', 'presidency']"
160,"['faced', 'situation', 'wondered']"
161,"['fortunately', 'best', 'option', 'available', 'time', 'opinion', 'ultimately', 'prevailed']"
162,"['able', 'avoid', 'political', 'problems', 'taken', 'hold', 'could', 'thrown', 'country', 'political', 'military', 'tailspin', 'consequences', 'would', 'unpredictable', 'certainly', 'much', 'graver', 'nonetheless', 'face', 'ways', 'continue', 'face']"
163,"['therefore', 'circumscribe', 'dynamics', 'military', 'coup', 'control', 'political', 'effects', 'limit', 'institutional', 'reach', 'enough', 'deal', 'two', 'opposing', 'positions', 'emerged', 'internally', 'abroad']"
164,"['one', 'deeply', 'detrimental', 'peaceful', 'return', 'constitutional', 'normality', 'country', 'much', 'realistic', 'thus', 'promising', 'terms', 'gradual', 'reestablishment', 'constitutional', 'order']"
165,"['deal', 'first', 'socalled', 'position', 'curious', 'dramatic']"
166,"['position', 'taken', 'people', 'would', 'preferred', 'see', 'worst', 'possible', 'situation', 'guineabissau']"
167,[]
168,"['betting', 'degradation', 'political', 'situation', 'country', 'order', 'justify', 'views', 'confirm', 'predictions', 'operationalize', 'political', 'concepts', 'resolve', 'crisis', 'guineabissau']"
169,"['indeed', 'made', 'every', 'attempt', 'apply', 'formula', '“', 'worse', 'guineabissau', 'better', '”', '—', 'better', 'serve', 'interests']"
170,"['radical', 'position', 'truly', 'able', 'touch', 'deepest', 'sensibilities', 'people', 'humble', 'refuses', 'humiliated']"
171,"['true', 'democracy', 'notwithstanding', 'flaws', 'violations', 'democratic', 'purpose', 'state', 'many', 'detours', 'taken']"
172,"['first', 'recognize']"
173,"['must', 'forget', 'first', 'state', 'born', 'centuries', 'pain', 'hope', 'hard', 'victorious', 'struggle', 'national', 'independence', 'strong', 'influence', 'determination', 'political', 'values', 'defended']"
174,"['order', 'enable', 'second', 'option', 'table', 'go', 'forward', 'able', 'rely', 'realism', 'prompt', 'solidarity', 'economic', 'community', 'west', 'african', 'states', 'ecowas']"
175,"['important', 'support', 'security', 'council', 'ecowas', 'became', 'solely', 'responsible', 'managing', 'agreed', 'transition', 'period', 'created', 'reduced', 'stabilization', 'military', 'mission', 'became', 'known', 'ecowas', 'mission', 'guineabissau']"
