,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp
4261,17066621,NARCOTICS,DRUG VIOLATION,ALCATRAZ AVENUE & SACRAMENTO ST,Berkeley,CA,Thursday,37.847908,-122.277685,2017-11-02 01:10:00
4262,18090248,THEFT FROM AUTO,LARCENY - FROM VEHICLE,1000 OXFORD ST,Berkeley,CA,Sunday,37.890716,-122.268299,2018-01-28 21:05:00
4263,17048122,BURGLARY AUTO,BURGLARY - VEHICLE,900 ARLINGTON AVE,Berkeley,CA,Tuesday,37.891957,-122.274131,2017-08-15 17:00:00
4264,17054586,THEFT FELONY (OVER $950),LARCENY,700 PAGE ST,Berkeley,CA,Sunday,37.875826,-122.303426,2017-09-10 16:00:00
4265,17092294,THEFT FELONY (OVER $950),LARCENY,3020 ADELINE ST,Berkeley,CA,Wednesday,37.854687,-122.269141,2017-11-15 20:25:00
4267,17092130,BURGLARY AUTO,BURGLARY - VEHICLE,2200 MCGEE AVE,Berkeley,CA,Saturday,37.868108,-122.277222,2017-10-21 05:00:00
4268,17091866,THEFT MISD. (UNDER $950),LARCENY,1400 VIRGINIA ST,Berkeley,CA,Tuesday,37.874575,-122.284796,2017-09-12 18:30:00
4269,17061476,BURGLARY COMMERCIAL,BURGLARY - COMMERCIAL,1900 FOURTH ST,Berkeley,CA,Tuesday,37.868281,-122.300102,2017-10-10 19:00:00
4270,18005244,BURGLARY RESIDENTIAL,BURGLARY - RESIDENTIAL,1700 DWIGHT WAY,Berkeley,CA,Friday,37.862808,-122.27633,2018-01-26 00:00:00
4271,17077305,BURGLARY AUTO,BURGLARY - VEHICLE,900 HEINZ AVE,Berkeley,CA,Thursday,37.853552,-122.29156100000002,2017-12-21 19:10:00
4272,17074657,BURGLARY AUTO,BURGLARY - VEHICLE,1500 SHATTUCK AVE,Berkeley,CA,Friday,37.88022700000001,-122.26936,2017-12-08 19:40:00
4273,17052339,DISTURBANCE,DISORDERLY CONDUCT,1800 SAN PABLO AVE,Berkeley,CA,Friday,37.871402,-122.292965,2017-09-01 14:00:00
4274,17052274,GUN/WEAPON,WEAPONS OFFENSE,900 UNIVERSITY AVE,Berkeley,CA,Saturday,37.868273,-122.295963,2017-09-02 00:38:00
4275,18002929,BURGLARY AUTO,BURGLARY - VEHICLE,1100 SIXTH ST,Berkeley,CA,Monday,37.882217,-122.302226,2018-01-15 16:30:00
4276,17075460,DOMESTIC VIOLENCE,FAMILY OFFENSE,1300 UNIVERSITY AVE,Berkeley,CA,Tuesday,37.869764,-122.28655,2017-12-05 00:00:00
4277,17078144,VEHICLE STOLEN,MOTOR VEHICLE THEFT,STANTON STREET & ASHBY AVE,Berkeley,CA,Tuesday,37.853255,-122.279655,2017-12-26 20:01:00
4278,17062574,THEFT MISD. (UNDER $950),LARCENY,COLLEGE AVENUE & PARKER ST,Berkeley,CA,Sunday,37.863938,-122.253735,2017-10-15 21:00:00
4279,17091811,THEFT MISD. (UNDER $950),LARCENY,2200 SHATTUCK AVE,Berkeley,CA,Saturday,37.869363,-122.268028,2017-09-09 17:40:00
4280,18001420,ASSAULT/BATTERY FEL.,ASSAULT,1700 UNIVERSITY AVE,Berkeley,CA,Sunday,37.870948,-122.27733,2018-01-07 23:48:00
4281,18001549,DISTURBANCE,DISORDERLY CONDUCT,2000 SAN PABLO AVE,Berkeley,CA,Monday,37.868845,-122.29214,2018-01-08 17:31:00
4282,17092556,THEFT MISD. (UNDER $950),LARCENY,1000 GILMAN ST,Berkeley,CA,Friday,37.88015,-122.297446,2017-12-22 14:07:00
4284,17092156,BURGLARY AUTO,BURGLARY - VEHICLE,1429 MARTIN LUTHER KING JR WAY,Berkeley,CA,Thursday,37.88034,-122.273952,2017-10-26 00:00:00
4285,17079109,VEHICLE STOLEN,MOTOR VEHICLE THEFT,1800 DWIGHT WAY,Berkeley,CA,Saturday,37.863092,-122.274125,2017-12-30 23:00:00
4286,17050193,NARCOTICS,DRUG VIOLATION,SAN PABLO AVENUE & ASHBY AVE,Berkeley,CA,Thursday,37.852137,-122.286732,2017-08-24 22:41:00
4287,18003190,BURGLARY AUTO,BURGLARY - VEHICLE,800 POTTER ST,Berkeley,CA,Tuesday,37.851255,-122.292509,2018-01-16 19:45:00
