incidntnum,category,descript,dayofweek,date,time,pddistrict,resolution,address,x,y,location,pdid
80531207,NON-CRIMINAL,FOUND PROPERTY,Tuesday,05/20/2008,21:00:00,PARK,NONE,GROVE ST / CLAYTON ST,-122.449517527025,37.7744602213672,"(37.7744602213672, -122.449517527025)",8053120772e3
50872445,LARCENY/THEFT,GRAND THEFT PICKPOCKET,Thursday,08/04/2005,14:00:00,SOUTHERN,NOT PROSECUTED,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",5087244506112
41062932,OTHER OFFENSES,UNKNOWN COMPLAINT,Thursday,09/16/2004,13:00:00,MISSION,NONE,1400 Block of CASTRO ST,-122.433898087839,37.750091915808,"(37.750091915808, -122.433898087839)",41062932e5
150617951,LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Wednesday,07/15/2015,14:30:00,INGLESIDE,NONE,0 Block of PHELAN AV,-122.452289660492,37.7256933575703,"(37.7256933575703, -122.452289660492)",15061795106304
180026156,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,01/10/2018,13:53:00,SOUTHERN,NONE,0 Block of MINT ST,-122.4074792525902,37.78236253926643,"(37.78236253926643, -122.4074792525902)",18002615664020
140325108,WEAPON LAWS,"AMMUNITION, POSS. BY PROHIBITED PERSON",Saturday,04/19/2014,11:35:00,BAYVIEW,"ARREST, BOOKED",0 Block of NORTHRIDGE RD,-122.375512968635,37.730806609582,"(37.730806609582, -122.375512968635)",14032510812173
80209335,NON-CRIMINAL,LOST PROPERTY,Wednesday,02/27/2008,14:00:00,NORTHERN,NONE,100 Block of GROVE ST,-122.419085788323,37.7784353333225,"(37.7784353333225, -122.419085788323)",8020933571e3
40396273,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,04/06/2004,20:45:00,RICHMOND,NONE,700 Block of SPRUCE ST,-122.452961989811,37.7810359803431,"(37.7810359803431, -122.452961989811)",4039627361030
40700674,VEHICLE THEFT,STOLEN MOTORCYCLE,Saturday,06/19/2004,04:30:00,TENDERLOIN,NONE,200 Block of ELLIS ST,-122.410345341262,37.7852309989833,"(37.7852309989833, -122.410345341262)",4070067407023
70699649,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,07/11/2007,23:03:00,NORTHERN,PSYCHOPATHIC CASE,900 Block of GEARY ST,-122.418918390218,37.7859407304209,"(37.7859407304209, -122.418918390218)",7069964964020
176266160,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,08/25/2017,18:52:00,BAYVIEW,NONE,1000 Block of KANSAS ST,-122.4026715947369,37.756422980026336,"(37.756422980026336, -122.4026715947369)",17626616006372
146256561,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,12/02/2014,17:30:00,SOUTHERN,NONE,600 Block of FOLSOM ST,-122.398341686223,37.7841714378594,"(37.7841714378594, -122.398341686223)",14625656106244
80570540,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Saturday,05/31/2008,08:05:00,SOUTHERN,"ARREST, BOOKED",800 Block of MARKET ST,-122.406520987144,37.7850629421661,"(37.7850629421661, -122.406520987144)",8057054006365
50573079,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Saturday,05/21/2005,18:30:00,TENDERLOIN,NONE,LARKIN ST / EDDY ST,-122.417530696987,37.783310753974,"(37.783310753974, -122.417530696987)",5057307906242
60940349,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Sunday,09/03/2006,12:04:00,TARAVAL,"ARREST, BOOKED",1500 Block of SLOAT BL,-122.489713969124,37.7339497680852,"(37.7339497680852, -122.489713969124)",6094034906365
60321965,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Saturday,03/25/2006,11:44:00,NORTHERN,PSYCHOPATHIC CASE,1000 Block of POLK ST,-122.419812186232,37.7866019512795,"(37.7866019512795, -122.419812186232)",6032196564020
86008264,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01/29/2008,19:00:00,SOUTHERN,NONE,500 Block of BRANNAN ST,-122.397713226445,37.7774696662398,"(37.7774696662398, -122.397713226445)",8600826406244
40012560,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,01/04/2004,23:42:00,SOUTHERN,"ARREST, BOOKED",1000 Block of HOWARD ST,-122.408625030829,37.7786579385852,"(37.7786579385852, -122.408625030829)",4001256016650
176299600,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,11/17/2017,18:00:00,RICHMOND,NONE,1000 Block of POINTLOBOS AV,-122.51364206426544,37.778469219946714,"(37.778469219946714, -122.51364206426544)",17629960006244
40357190,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Sunday,03/28/2004,13:55:00,RICHMOND,"ARREST, BOOKED",700 Block of 7TH AV,-122.464944716156,37.774384171507,"(37.774384171507, -122.464944716156)",4035719006365
140659076,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,08/07/2014,23:00:00,INGLESIDE,NONE,0 Block of PORTER ST,-122.418214081213,37.7344722500458,"(37.7344722500458, -122.418214081213)",14065907607021
90866618,BURGLARY,"BURGLARY OF WAREHOUSE, FORCIBLE ENTRY",Monday,08/24/2009,04:05:00,MISSION,NONE,200 Block of POTRERO AV,-122.407677083883,37.7664151429496,"(37.7664151429496, -122.407677083883)",9086661805061
150597121,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,07/09/2015,11:30:00,SOUTHERN,"ARREST, BOOKED",500 Block of STEVENSON ST,-122.410891754793,37.7809097652868,"(37.7809097652868, -122.410891754793)",15059712116710
150106108,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Tuesday,02/03/2015,21:30:00,NORTHERN,"ARREST, BOOKED",GEARY BL / FILLMORE ST,-122.432914603494,37.7843533426568,"(37.7843533426568, -122.432914603494)",15010610803014
66053596,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,08/04/2006,23:30:00,SOUTHERN,NONE,200 Block of 3RD ST,-122.399899436982,37.7846480308387,"(37.7846480308387, -122.399899436982)",6605359606244
150931610,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Sunday,10/25/2015,00:20:00,MISSION,"ARREST, BOOKED",1000 Block of VALENCIA ST,-122.421071601169,37.7556941430248,"(37.7556941430248, -122.421071601169)",15093161062050
151089238,SECONDARY CODES,DOMESTIC VIOLENCE,Thursday,12/17/2015,18:23:00,MISSION,"ARREST, BOOKED",2800 Block of 24TH ST,-122.40960340614,37.7528220751267,"(37.7528220751267, -122.40960340614)",15108923815200
176033367,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,01/30/2017,18:00:00,RICHMOND,NONE,5200 Block of GEARY BL,-122.47564650940159,37.78063128260152,"(37.78063128260152, -122.47564650940159)",17603336706374
